"actor_1_facebook_likes","actor_2_facebook_likes","actor_3_facebook_likes","cast_total_facebook_likes","director_facebook_likes","movie_facebook_likes"
18000,412,277,19148,0,0
1000,495,416,3148,241,0
426,387,293,1761,155,0
19000,13000,1000,36873,488,22000
12000,748,329,13421,295,0
14000,11000,11000,37967,9,2000
6000,989,874,10163,62,0
33000,15000,7000,57426,43,44000
13000,258,58,13430,12,795
2000,843,660,6729,148,0
22000,18000,11000,53094,152,27000
18000,11000,808,30383,249,0
14000,664,660,16967,174,24000
12000,536,433,14007,99,0
20000,979,443,22417,160,48000
154,131,55,428,71,955
416,171,132,1816,NA,0
8000,2000,1000,11124,5,624
660,651,541,2177,23,1000
1000,912,477,3341,39,970
10000,520,467,11946,75,45000
838,593,372,2583,213,0
15000,348,144,15608,154,27000
13000,903,414,14747,79,0
769,726,681,3580,0,44000
17000,995,679,19513,34,18000
87000,11000,935,101383,12,773
16000,1000,826,19139,16000,1000
10000,2000,957,15569,0,2000
495,294,283,1397,21000,25000
992,495,368,1933,50,0
18000,4000,585,24024,41,0
3000,1000,1000,8398,22,39000
18000,822,294,20152,473,3000
490,298,159,1367,77,15000
437,289,174,1093,644,669
16000,823,767,19610,287,0
21000,3000,3000,30183,71,47000
294,273,258,1289,75,0
14000,919,706,16791,38,0
14000,1000,186,15634,17,0
18000,886,323,19739,73,1000
854,643,158,1860,0,812
12000,722,717,14899,0,0
29000,414,39,29461,0,0
627,508,434,2052,0,718
330,119,72,701,160,0
24000,743,432,25469,0,0
325,7,5,344,NA,361
2000,472,210,3016,31,877
15000,2000,1000,20061,9,0
13000,563,447,14344,16000,16000
33000,455,401,34606,58,0
45000,13000,282,58528,503,0
879,184,163,1344,73,3000
13000,559,323,14706,0,0
430,329,201,1300,487,43000
933,631,511,3357,323,0
16000,1000,581,18635,16000,705
6000,450,294,7654,670,0
12000,898,764,15935,0,0
629,512,398,2758,NA,915
14000,631,521,16358,663,0
13000,1000,639,15757,0,0
11000,552,303,12786,378,10000
18000,14000,256,32637,317,0
1000,923,730,6171,65,779
14000,988,655,16992,174,15000
10000,6000,509,17211,0,0
23000,1000,795,25049,134,0
51,40,15,144,0,0
20000,11000,11000,45202,234,18000
6000,694,692,8018,260,0
972,713,317,2606,333,697
1000,619,479,2949,32,0
10000,3000,2000,15820,596,943
6000,3000,405,10191,218,9000
3000,845,600,5381,NA,0
984,940,897,5702,12000,0
2000,979,602,5461,607,422
18000,8000,1000,29926,83,0
1000,852,592,3580,98,14000
49000,811,809,52885,0,0
14000,8000,1000,24107,0,28000
11000,387,338,11972,5,288
2000,602,591,3954,0,255
12000,2000,982,16481,71,15000
841,342,77,1385,43,0
26000,5000,848,32831,70,0
1000,531,184,1863,NA,31000
879,560,380,2795,212,2000
22000,882,830,24316,628,21000
599,399,215,1418,0,0
11000,844,440,12884,14000,0
2000,35,0,2035,456,36000
20000,2000,502,23051,662,67000
18000,11000,308,29748,176,0
17000,324,237,18141,21000,0
598,555,235,2353,42,352
2000,490,393,3743,737,3000
27000,254,194,27666,79,18000
779,629,261,1823,109,0
18000,12000,1000,33615,34,0
20000,1000,821,22209,446,0
3000,575,484,5390,11000,0
12000,5000,886,18793,0,828
23000,8000,600,33548,446,0
14000,794,482,16967,118,38000
3000,745,23,3768,0,0
2000,1000,302,3718,0,0
113,102,59,371,375,522
678,631,327,2096,631,2000
1000,977,835,4660,323,0
919,811,807,4796,545,0
13000,954,535,15192,270,0
29,29,12,95,0,0
4000,769,677,6863,0,261
8000,115,77,8349,350,616
8000,1000,692,12344,29,0
8000,973,135,9176,148,881
14000,509,319,15658,22000,0
1000,1000,906,6315,906,3000
13000,541,364,14619,39,0
18000,13000,826,33233,380,975
509,418,255,2070,293,0
788,423,345,2104,65,0
1000,623,522,2704,92,115
924,664,628,3244,32,0
14000,935,558,16410,118,63000
807,780,750,3629,119,0
545,337,213,1574,80,0
14000,3000,311,17925,40,0
11000,1000,995,15362,0,1000
18000,8000,956,30063,79,0
821,577,551,4043,541,1000
11000,2000,760,14868,0,22000
11000,530,308,12757,176,0
3000,949,586,6292,126,0
20000,15000,1000,37321,777,86000
18000,881,854,22370,845,0
25000,724,436,26998,23,19000
1000,422,179,1645,322,0
970,91,84,1336,33,26000
886,650,595,3174,45,0
17000,807,730,20299,49,0
521,108,67,758,50,0
2000,902,514,3717,49,0
811,625,560,3106,18,0
14000,14000,548,28886,628,52000
18000,1000,1000,24205,487,0
40000,1000,140,41636,117,0
13000,279,20,13331,49,0
982,843,808,3648,41,1000
6000,584,559,7493,5,0
14000,8000,3000,27351,58,743
11000,2000,651,14073,37,10000
1000,641,631,4604,38,531
14000,706,443,16225,85,0
35000,11000,734,49743,153,12000
1000,976,501,3757,61,0
11000,894,132,12161,161,0
1000,845,563,2965,0,0
749,463,404,1948,0,28000
550,216,167,1102,160,2000
427,304,252,1461,29,2000
12000,11000,8000,33822,8,593
913,362,202,2449,0,11000
5000,117,107,5405,278,14000
29000,14000,10000,53895,0,0
13000,929,795,15053,503,0
14000,844,510,15990,326,0
2000,461,322,3855,29,451
905,484,451,2348,11000,0
1000,701,553,3423,13,916
723,44,19,793,0,0
11000,8000,2000,24351,38,0
409,107,20,578,38,46000
1000,642,579,3855,23,0
13000,861,820,15006,0,652
12000,5000,805,21130,0,915
854,766,501,2507,2000,15000
3000,1000,855,6558,208,0
23000,1000,826,26982,0,0
879,52,10,949,611,0
12000,68,61,12166,15,0
11000,1000,865,13917,188,892
267,202,50,538,179,0
164,116,114,654,NA,17000
849,623,269,2457,170,68
219,141,104,661,32,17000
719,611,500,3090,11,0
1000,660,650,3133,0,89000
11000,1000,812,13357,99,0
18000,1000,789,21554,72,0
22000,11000,893,37076,272,0
13000,738,668,15662,170,0
23000,2000,643,26907,13,353
1000,48,40,1178,3,0
12000,849,678,14255,517,1000
956,845,520,2998,235,0
11000,1000,287,12876,118,11000
670,370,225,1801,835,0
12000,10000,664,23864,84,0
11000,5000,5000,22383,255,0
44,28,16,132,16,0
10000,1000,957,14244,521,0
405,268,135,1066,23,0
26000,956,350,27834,165,16000
17000,971,839,19968,97,39000
8000,437,427,9255,50,11000
579,530,206,1817,91,0
22000,923,650,24534,29,0
723,558,547,3841,71,0
975,815,749,4825,176,24000
940,726,595,2957,311,0
4000,828,491,6727,153,17000
11000,3000,505,15571,73,893
12000,592,292,13716,0,0
650,537,395,1651,89,0
468,442,412,2134,119,0
683,349,275,2371,46,0
10000,2000,913,15369,308,20000
22000,9000,808,33585,17,748
5000,922,687,7723,5,0
12000,43,16,12076,487,10000
5000,643,576,6229,611,0
922,786,497,3301,30,19000
11000,392,365,12239,133,50000
624,489,433,2056,19,0
870,284,253,1610,NA,455
1000,172,52,1342,0,0
1000,418,196,1954,161,0
326,152,6,488,326,161
13000,3000,996,18761,241,0
687,312,96,1134,4,505
13000,3000,766,17540,0,14000
107,81,54,362,20,11000
734,574,296,2085,64,11000
668,641,225,2004,80,0
34000,23000,14000,83012,737,63000
16000,896,723,18656,98,10000
984,489,298,2129,78,0
1000,869,690,3660,0,12000
19000,11000,903,32325,0,83000
1000,935,716,4585,456,101000
13000,4000,2000,22935,0,681
18000,11000,1000,31349,541,0
3000,2000,597,7014,189,0
480,449,127,1261,532,58000
15000,923,251,16751,545,0
1000,575,336,2676,0,40000
10000,349,81,10555,21000,74000
97,50,49,318,42,12000
2000,869,807,5855,119,1000
287,157,71,600,0,0
1000,869,690,3986,0,0
8000,2000,723,12556,164,14000
18000,12000,10000,42220,0,14000
11000,935,923,13321,0,13000
11000,3000,898,16911,241,28000
22000,13000,1000,36810,333,0
13000,899,839,16179,101,55000
23000,984,249,24300,155,11000
22000,11000,808,36010,278,54000
2000,874,655,5178,167,0
855,363,322,2144,0,0
904,876,748,5074,138,0
3000,472,175,3924,436,13000
2000,897,882,6775,38,0
24000,4000,257,28928,29,0
700,655,398,2842,101,0
433,256,4,698,0,0
17000,826,633,19334,14,663
24000,11000,8000,43917,563,2000
2000,2000,651,7009,23,0
982,971,119,2357,415,16000
164000,137000,748,303717,160,0
15000,535,423,16944,14000,55000
578,563,389,2544,212,0
836,719,177,2091,89,12000
1000,593,418,2325,23,0
4000,835,823,8610,287,0
2000,2000,968,7039,20,0
15000,1000,720,17152,58,0
11000,980,638,13943,65,25000
14000,903,767,17152,174,29000
23000,20000,19000,63986,22000,49000
18000,11000,465,30571,51,12000
3000,190,91,3361,7,0
708,78,19,848,0,14000
387,244,162,1233,46,0
2000,1000,520,4243,190,17000
954,568,204,2179,425,263
40000,534,501,41293,192,0
18000,426,211,18693,18,0
545,351,280,1274,34,0
3000,2000,988,9069,54,11000
1000,689,681,4298,10,3000
880,413,235,2281,16000,16000
13000,936,913,16762,0,0
21000,534,416,22318,326,0
12000,11000,11000,37570,14000,0
472,47,0,519,323,694
1000,741,473,4324,25,0
3000,450,287,4634,80,0
24000,1000,586,26938,643,0
799,690,664,2787,30,0
176,61,57,390,99,42000
405,358,78,1070,98,0
2000,741,687,4486,0,26000
12000,638,173,12970,541,0
720,576,552,3044,0,0
683,392,214,1488,52,0
374,258,235,1238,0,390
703,682,495,3074,77,20000
711,683,584,2913,6,445
18000,3000,754,23920,75,16000
787,299,223,1827,101,0
51,21,12,108,NA,301
1000,613,490,3239,65,702
14000,9000,3000,28927,3000,24000
924,595,510,2711,85,0
15000,467,64,15595,335,39000
293,117,58,621,50,0
1000,1000,441,3969,260,0
2000,1000,249,3753,18,470
3000,1000,715,5917,0,3000
3000,941,294,4565,55,394
607,322,210,1335,39,279
10000,368,44,10469,287,0
964,931,327,2888,0,299
20000,19000,19000,77823,56,0
18000,9000,903,29484,7,8000
327,253,135,960,81,0
22000,926,354,23737,17000,0
783,754,353,3126,545,680
877,738,674,3432,118,15000
10000,908,795,14275,7,0
22000,11000,616,34377,105,416
978,886,685,3821,34,0
1000,1000,1000,5039,33,0
14000,940,889,17877,17,309
16000,893,683,18913,719,0
4000,887,826,7243,0,0
12000,975,497,14008,58,555
13000,530,351,14463,19,604
6000,382,284,7099,171,54000
636,631,572,3374,124,754
13000,11000,563,24770,0,15000
11000,944,311,12566,65,835
782,658,402,2125,0,630
326,326,54,809,0,39000
976,799,762,3974,29,849
865,826,624,3639,14,0
875,596,171,1702,42,0
2000,642,613,4327,22,579
2000,886,595,4262,37,612
14000,4000,835,20503,80,0
1000,627,500,3096,0,0
1000,760,706,4103,92,866
521,372,249,1883,5,328
2000,577,485,4024,7,401
12000,2000,61,14127,22,10000
1000,1000,259,2664,39,892
3000,545,443,4123,18,158
545,248,219,1149,8,565
11000,372,167,11623,0,15000
61,46,39,222,48,0
795,754,379,2449,0,211
1000,535,87,1686,180,0
15000,460,173,15638,13,823
884,617,502,2288,154,0
11000,922,472,13821,34,12000
499,3,2,504,47,0
1000,970,385,2612,0,0
5000,755,483,6267,31,0
1000,580,533,2115,44,265
11000,557,398,12286,584,58000
1000,559,541,3243,10,0
2000,894,596,5240,23,89
720,581,380,2630,295,15000
218,133,72,554,50,21000
152,142,100,568,124,13000
747,452,433,1930,36,0
23000,14000,4000,45327,357,14000
940,925,787,4774,13000,25000
2000,505,279,2853,0,14000
865,534,511,2972,534,177
593,542,420,2329,44,0
22000,13000,785,36009,88,12000
755,643,478,2172,610,0
982,935,559,4251,72,0
18000,957,954,22436,126,9000
592,516,275,2176,36,478
12000,2000,1000,18291,0,478
1000,946,906,6427,18,0
643,290,7,943,0,13000
21000,11000,1000,36062,508,33000
23000,967,501,25160,NA,0
76,47,46,196,0,0
18000,584,494,20516,278,0
970,919,789,3770,150,0
931,754,692,2912,7,989
598,557,377,3552,99,8000
308,285,280,1440,43,689
854,543,466,2765,11,168
40000,903,541,42344,2000,0
24000,210,182,24547,150,352
628,316,108,1265,65,0
940,906,736,3277,304,12000
12000,1000,982,16237,0,911
957,163,145,1757,0,23000
14000,924,904,17551,123,39000
37,12,12,74,11,389
1000,569,427,2120,49,474
13000,2000,260,15494,27,0
378,18,15,427,0,27000
4000,476,217,4900,2,366
2000,898,534,5162,39,0
17000,1000,724,19974,5,14000
13000,597,531,15106,0,70000
10000,4000,206,14296,0,29000
10000,2000,651,13396,52,14000
24000,11000,681,36093,1000,0
18000,82,35,18178,3,0
26000,10000,471,37206,2000,83000
786,625,272,1906,0,13000
13000,642,574,14483,0,0
2000,756,591,4882,11,15000
11000,680,631,14209,188,0
17000,12000,10000,44060,308,19000
18000,669,644,20970,415,0
789,744,405,2986,10,0
740,707,651,3425,43,35000
463,35,30,599,35,240
551,284,263,1874,84,0
180,172,133,762,883,0
496,390,318,1272,38,12000
11000,641,631,13904,188,0
9000,1000,475,10838,287,852
14000,919,582,16611,473,0
15000,14000,13000,44037,488,11000
2000,912,723,3968,0,591
746,602,577,2393,96,846
12000,3000,2000,19904,101,23000
685,485,263,1942,487,17000
944,886,450,2928,31,133
541,521,387,2268,16,279
1000,812,642,4537,0,638
14000,839,706,17623,480,24000
461,79,51,615,25,12000
45000,645,481,47203,116,0
920,549,488,2725,13000,12000
877,794,785,3497,596,2000
808,277,94,1446,503,0
768,734,624,3389,102,38000
778,618,452,2255,NA,0
2000,843,640,4499,0,0
18000,464,64,18669,91,31000
13000,12000,538,25964,1000,36000
11000,11000,505,23923,64,0
12000,664,643,16007,338,0
4000,904,680,5826,91,17000
22000,1000,387,24006,17000,0
18000,5000,1000,25661,126,0
492,392,213,1450,0,25000
1000,358,278,2689,8,919
14000,1000,362,15912,333,0
18000,398,210,19129,161,11000
947,742,591,2968,31,0
19000,957,945,23504,0,0
900,759,25,1715,79,0
40000,852,574,42918,0,10000
812,551,311,2474,763,0
29000,130,80,29265,130,0
826,638,426,2259,130,0
11000,4000,691,16571,14,0
1000,762,568,4231,19,0
15000,3000,923,20956,87,41000
17000,329,190,17860,89,0
15000,2000,825,19809,102,39000
18000,848,318,20143,0,0
529,130,120,1050,0,18000
49000,1000,931,53370,12,0
978,593,227,2184,148,0
49000,838,766,52566,42,913
11000,970,553,13125,221,0
944,940,664,4879,30,0
40000,14000,646,56014,179,0
14000,2000,766,17902,545,0
887,770,723,3876,365,11000
24000,15000,939,41701,1000,0
15000,552,248,16249,212,0
20000,10000,3000,34011,487,52000
1000,700,584,3356,16,0
969,826,196,2371,42,13000
897,637,628,3438,NA,265
1000,691,447,2643,19,0
288,257,57,677,23,0
2000,1000,690,5443,133,0
396,338,95,1075,2000,21000
446,224,206,966,308,0
730,716,324,2178,174,0
20000,8000,23,28027,0,12000
29000,6000,363,36258,16000,16000
1000,915,844,3185,192,5000
775,541,531,3001,48,0
2000,683,636,4722,81,0
2000,648,398,3612,40,0
3000,874,480,5709,37,0
591,488,455,2603,24,12000
939,854,769,3592,0,0
907,445,374,2471,357,11000
18000,461,229,19689,16000,0
22000,1000,558,24154,8,0
287,175,167,855,24,0
436,263,210,1394,0,949
826,716,296,2351,251,0
11000,1000,973,17292,13,0
10000,979,745,13371,15,23000
327,73,63,561,309,13000
1000,766,72,1908,2,538
21000,826,549,22974,161,0
1000,642,418,3266,82,0
1000,412,344,2073,90,0
1000,573,520,2535,0,0
23000,1000,346,24669,192,20000
472,328,253,1679,98,0
3000,61,39,3142,159,0
26000,968,458,28479,138,17000
4000,4000,663,9330,12,0
3000,1000,734,6327,16,0
465,351,174,1361,0,0
14000,192,136,14744,170,0
11000,10000,10000,32875,0,0
605,367,150,1290,468,452
553,214,134,1082,52,0
18000,826,505,19805,529,0
694,605,141,1668,10,433
2000,1000,919,5890,212,0
1000,603,230,1947,57,0
11000,1000,687,13021,0,39000
635,316,105,1352,85,471
1000,206,120,1458,453,10000
13000,891,127,14165,241,704
3000,967,766,6563,189,0
2000,826,690,5022,12,494
23000,22,6,23031,0,24000
690,457,448,1993,31,0
883,883,567,3611,0,9000
2000,729,256,3823,NA,20000
2000,864,697,4334,503,892
848,674,672,3227,138,6000
1000,1000,918,3125,55,561
548,298,115,1005,0,675
695,279,249,1573,278,0
837,541,45,1508,22,262
3,2,0,5,0,633
30,9,7,50,0,29000
621,525,282,1980,596,677
4000,820,324,5377,18,0
970,856,816,3874,194,26
988,149,129,1783,47,38000
1000,249,141,1564,31,0
554,382,94,1068,17000,0
20000,1000,1000,24640,0,23000
372,248,239,1274,3,120
12000,774,566,14978,165,0
6,3,2,13,6000,0
989,970,954,3386,88,23000
40000,9000,1000,52621,7,1000
818,649,292,1778,46,314
18000,2000,2000,23122,125,0
113,98,38,301,56,13000
635,631,521,2291,631,0
10000,2000,574,14619,0,0
2000,1000,655,5942,43,742
826,436,330,1790,67,1000
324,15,11,369,0,0
614,150,48,843,21,0
3000,594,433,4863,35,19000
852,521,491,2604,160,4000
18000,223,178,18688,10,463
669,403,336,2114,36,4000
722,580,577,2859,41,0
26000,828,317,27759,132,12000
11000,617,551,13093,179,783
11000,1000,504,13649,37,14000
165,107,43,391,197,0
14000,388,50,14504,335,15000
1000,945,833,4151,136,0
22000,11000,8000,43354,4000,21000
3000,941,796,5975,226,0
773,664,521,2916,32,0
13000,1000,1000,18734,503,11000
678,635,327,1729,100,0
722,655,460,3229,176,27000
17000,11000,9000,38751,133,97000
826,724,573,3004,9,0
22000,9000,975,36069,88,0
23000,4000,1000,31529,34,0
49000,22000,2000,74181,16,0
918,845,534,3500,14,0
15000,491,355,16034,0,56000
344,242,240,2054,155,0
8000,912,897,10938,541,10000
716,648,223,1843,0,5000
16000,1000,642,20201,14000,2000
649,579,83,1400,61,0
10000,917,882,12754,0,0
26000,1000,810,29050,255,0
29000,165,159,29743,0,0
638,160,142,961,29,702
12000,368,245,13040,17000,0
1000,561,447,2925,238,12000
889,618,535,3274,26,0
3000,359,179,3864,278,350
12000,10000,7000,32094,35,13000
3000,2000,826,7394,10,643
13000,898,876,16878,0,625
845,552,308,2355,0,559
330,239,239,1073,0,290
11000,10000,3000,25313,0,19000
839,730,472,2961,8,0
975,345,320,2223,65,0
10000,877,24,10910,34,0
11000,920,184,12518,521,0
18000,984,874,20952,0,64000
244,202,177,1008,43,0
13000,1000,670,15082,0,149000
12000,495,442,13811,96,0
687,151,125,1440,155,0
2000,702,617,4045,40,0
783,370,322,2097,176,62000
26000,12000,816,40312,0,28000
848,808,482,3439,188,0
539,151,90,813,252,0
12000,11000,781,26760,221,0
3000,1000,1000,7872,6,0
15000,1000,802,19046,487,0
18000,946,780,20966,101,0
17000,359,281,18322,23,32000
11000,3000,946,17560,12,0
33000,18000,1000,54877,132,0
826,692,495,2575,323,0
15000,1000,898,20035,304,41000
989,939,936,4730,43,0
1000,1000,436,3696,188,5000
531,461,460,2203,176,0
11000,995,529,13645,0,0
944,893,452,3143,37,0
11000,11000,360,22678,21000,39000
2000,433,107,2639,662,22000
19000,542,217,20097,47,0
616,541,262,1942,16000,12000
16000,11000,567,28830,16000,14000
22000,979,636,24333,11000,0
33000,638,545,34495,415,57000
2000,805,71,2978,98,0
1000,1000,635,4516,23,0
971,844,786,4527,0,181
769,713,252,1936,0,883
12000,11000,918,26388,380,11000
24000,10000,940,35209,655,19000
442,344,322,1556,729,0
303,18,7,337,129,81000
23000,13000,502,37387,0,75000
979,891,560,2911,129,602
405,368,204,1185,108,5000
11000,7000,329,19420,64,0
15000,975,344,16758,89,0
971,741,690,3418,NA,0
1000,654,482,2740,309,0
2000,1000,966,6930,5,0
970,631,545,2860,0,0
11000,826,545,13794,56,0
506,316,246,1266,65,0
3000,2000,533,6742,56,0
617,204,183,1289,11000,78000
14000,3000,691,18795,7,0
40000,1000,877,43453,47,13000
18000,652,362,19815,43,0
12000,664,643,14710,0,0
1000,889,837,3679,13,1000
3000,459,348,4767,88,1000
1000,439,433,2943,46,0
567,269,100,1145,9,0
18000,631,37,18726,98,20000
984,934,521,2910,7,771
19000,1000,286,20499,456,12000
898,60,22,1026,56,13000
939,255,237,1748,0,0
971,860,760,6137,101,13000
40000,16000,973,60683,13000,0
696,663,543,2577,0,0
455,221,219,1467,777,59000
15000,1000,424,16881,845,44000
2000,1000,828,5642,0,11000
11000,2000,1000,15327,43,34000
3000,3000,1000,9638,23,0
2000,594,357,4059,209,16000
585,495,64,1165,134,0
8000,189,77,8362,395,13000
430,72,63,814,171,0
26000,821,751,29551,246,66000
869,759,362,3854,82,0
22000,581,497,23866,102,0
581,571,384,2373,343,0
13000,854,413,15308,0,0
157,33,21,257,456,38000
971,805,468,3295,NA,0
663,349,342,2266,40,1000
15000,839,392,16827,15000,0
17000,2000,534,20051,108,39000
1000,712,439,3797,3,0
680,638,576,2867,NA,0
12000,2000,581,15811,21,0
1000,611,506,3664,39,304
940,271,265,1594,30,13000
17000,681,273,18469,0,29000
1000,530,438,3239,57,0
759,73,69,1002,15,0
577,291,244,1653,14,1000
631,199,95,1023,631,0
521,491,400,2060,150,11000
11000,882,433,12785,73,592
18000,723,650,20772,32,0
973,776,560,2737,425,1000
2000,1000,897,5697,301,18000
2000,942,653,3892,24,11000
1000,681,642,4369,34,484
2000,401,372,3479,89,11000
1000,962,635,4462,30,491
10000,796,343,11799,549,27000
14000,829,277,15271,110,0
954,739,431,3148,25,999
978,968,488,3072,845,629
4000,561,537,6152,114,204
19000,953,762,22554,11,0
15000,11000,2000,31278,380,24000
14000,975,494,16722,50,0
10000,9000,874,20563,51,0
13000,2000,900,18085,41,462
900,686,559,2222,165,12000
1000,692,322,3000,8,0
1000,807,798,5101,149,0
849,787,258,2178,2,0
372,206,130,977,0,625
489,93,40,679,118,0
596,343,133,1393,44,23000
23000,909,855,27829,0,0
811,586,362,2497,38,858
21000,767,210,22006,277,654
473,315,99,1100,70,0
971,236,165,1643,419,24000
22000,829,353,23352,6,387
448,143,120,842,3,0
1000,857,843,5393,6,0
11000,329,83,11519,529,0
10000,785,645,11769,0,19000
891,460,329,1873,12,0
147,63,51,307,NA,0
3000,697,681,5706,65,0
779,240,91,1297,29,0
18000,11000,2000,32930,380,0
22000,683,642,24719,0,12000
3000,678,174,4253,76,0
14000,871,548,16252,53,0
2000,378,345,2759,277,287
17000,2000,826,21519,9,353
876,142,135,1518,108,0
489,181,107,949,45,445
826,816,748,4473,23,0
11000,10000,820,22516,181,0
974,643,187,1887,0,0
295,71,55,545,2,0
26000,947,700,29773,165,0
18000,1000,313,19620,395,21000
1000,898,480,3095,7,885
113,11,11,143,55,0
922,919,432,2725,18,0
963,903,520,2806,61,6000
114,35,21,229,0,161
1000,794,24,1831,59,447
11000,4000,365,15795,5,13000
10000,1000,751,13159,0,40000
523,405,154,1383,446,11000
757,641,442,3309,NA,12000
955,869,754,5404,0,0
1000,409,373,2056,12,0
2000,1000,1000,6161,2000,0
504,147,89,810,0,3000
2000,719,584,4169,71,201
22000,779,265,23562,265,0
18000,427,400,18855,0,0
11000,1000,933,17873,759,209
1000,857,363,2567,64,0
1000,948,566,5085,11,0
49000,2000,631,52970,63,0
559,427,303,2702,473,76000
11000,429,237,11898,14000,0
971,503,368,3438,5,418
11000,2000,878,17109,93,0
11000,183,83,11534,350,0
40000,4000,876,46186,0,0
25000,13000,541,40585,323,25000
833,543,526,3400,136,0
33000,23000,767,57308,285,99000
579,489,210,1500,0,0
639,617,250,1845,149,0
3000,2000,1000,10438,0,7000
11000,2000,968,17533,163,0
173,59,47,386,21,0
13000,1000,327,14609,0,0
1000,872,660,3969,446,11000
22000,11000,966,35694,226,27000
844,402,244,2118,46,2000
11,9,6,37,23,12000
664,655,186,2010,0,0
14000,10000,8000,34565,0,0
576,447,325,1554,529,23000
580,336,115,1275,197,16000
943,763,559,3497,96,0
553,488,385,2357,905,36000
731,579,459,1987,181,0
18000,1000,1000,23344,71,0
35000,7000,3000,47677,44,12000
422,286,241,1083,456,17000
11000,759,521,13877,0,34000
14000,1000,902,16125,105,0
933,194,114,1286,368,10000
3000,327,97,3681,115,0
497,347,258,1805,710,209
63,3,NA,66,63,1000
806,591,585,3211,80,0
738,428,385,2171,116,913
1000,626,453,3436,32,0
1000,937,899,5535,23,517
26000,1000,900,28867,0,0
1000,962,660,3944,234,0
2000,860,845,4710,23,73000
2,2,0,4,17000,0
480,261,87,858,53,0
17000,927,405,19168,65,36000
10000,1000,278,11669,13,0
23000,727,561,25387,11,0
594,303,293,1898,46,0
11000,985,529,12874,0,0
673,489,228,1775,415,15000
940,706,436,3565,92,464
358,223,162,1334,767,845
386,99,78,646,14,0
24000,15000,11000,50950,151,0
766,638,535,2707,NA,11000
12000,1000,664,16230,120,0
1000,482,477,3845,144,0
19000,13000,591,32921,4000,65000
11000,956,685,14322,39,0
1000,809,326,2566,644,14000
953,713,523,3525,43,894
1000,773,715,3389,650,0
66,5,3,74,129,0
1000,888,429,3313,49,2000
13000,11000,1000,26451,118,10000
2000,826,820,6341,133,0
898,584,358,2452,776,15000
523,312,271,1560,249,21000
3000,882,531,4696,295,14000
3000,2000,844,6420,10,0
491,154,94,812,NA,459
303,146,137,960,181,0
11000,597,324,11969,0,315
14000,716,355,15790,22,0
748,489,398,1721,54,817
1000,506,460,2495,43,0
2000,734,640,4311,0,0
8000,698,638,10894,0,0
783,132,57,1044,31,0
22000,22000,638,46022,541,0
1000,968,749,4186,212,2000
22000,18000,17000,71973,272,845
844,766,387,3286,278,188
5,4,3,24,0,359
567,402,328,2954,41,0
2000,528,512,3984,70,0
7000,966,218,8341,0,0
1000,264,239,1690,108,0
14000,439,313,15428,71,15000
743,394,344,2403,425,0
11000,989,919,15590,234,0
1000,794,343,2747,72,0
3000,693,648,5458,0,0
8000,1000,442,10493,541,0
813,547,424,1784,NA,0
385,232,14,669,0,0
332,285,178,1090,0,0
748,439,392,3172,160,0
1000,596,577,3066,0,16000
2000,850,534,3889,124,0
12000,412,385,13573,0,43000
19000,3000,2000,28493,80,736
2000,587,528,3917,906,874
826,130,67,1154,759,0
20000,15000,3000,42473,260,10000
1000,934,588,3742,8,167
22000,988,307,23456,0,20000
11000,216,155,11662,49,3000
771,570,427,2356,160,35000
826,590,509,2466,80,260
1000,691,535,2960,5,319
1000,854,223,2228,30,145
642,638,512,2170,2,0
11000,893,277,12534,11000,826
15000,980,816,19068,737,0
442,95,26,616,0,504
16000,543,523,17847,763,11000
883,430,151,1565,353,0
260,252,113,705,0,13000
49000,1000,711,52201,0,0
10000,898,628,12285,272,12000
16000,601,198,17347,16000,28000
2000,826,655,4264,0,0
14000,816,485,16461,180,29000
775,523,437,3197,97,19000
970,854,164,2551,81,0
14000,795,212,15233,14000,41000
15000,3000,2000,23227,150,75000
19000,17000,203,36337,386,11000
4000,2000,596,7800,67,567
1000,65,48,1166,0,0
918,782,662,4692,31,3000
554,213,127,1041,187,488
770,677,179,2251,8,425
2000,1000,387,3958,198,0
642,533,445,2501,34,0
22000,371,188,22767,0,0
2000,939,883,4738,1000,21000
655,521,460,2394,167,0
14000,1000,887,16999,11,0
541,399,163,1323,529,18000
934,655,643,3500,0,660
3000,448,433,5740,99,0
20000,962,766,22739,425,24000
2000,722,472,4453,170,11000
5000,848,775,9082,43,0
264,139,108,673,503,7000
440,346,318,2420,70,0
713,220,204,1852,96,29000
14000,11000,3000,28071,47,6000
40000,14000,2000,58823,395,0
975,521,400,3202,0,0
14000,798,726,16606,248,32000
22000,812,317,23328,21,0
640000,8000,7000,656730,285,0
22000,854,635,24783,17000,25000
1000,934,434,3037,91,542
14000,2000,579,17278,52,0
14000,670,638,16464,0,19000
742,658,468,2457,176,0
1000,643,400,2451,973,0
24000,736,733,26625,175,0
695,635,585,2530,420,666
272,111,104,533,0,16000
1000,535,503,2908,0,187
971,503,362,3017,0,329
744,489,466,3001,92,0
2000,953,917,6862,42,0
5000,888,872,7945,20,0
15000,852,816,18789,29,0
1000,619,485,3535,23,671
4000,774,367,6393,44,10000
12000,11000,10000,36064,176,58000
14000,1000,742,16400,29,0
296,270,177,1340,108,0
1000,562,440,2822,7,0
5000,618,432,6867,43,1000
